tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
750,3.4935006675567424,1,0.0013,0.24,2025-09-28T09:38:23.223477
750,3.4347948375611925,2,0.0015,0.2114,2025-09-28T09:38:59.430376
750,3.845002225189141,3,0.0013,0.2459,2025-09-28T09:39:38.494799
750,2.6025776591010237,4,0.0822,0.2438,2025-09-28T09:40:13.609618
750,4.325778371161549,5,0.0025,0.2353,2025-09-28T09:40:43.582539
750,5.073011125945706,6,0.1103,0.2588,2025-09-28T09:41:16.078237
750,6.2834534935469515,7,0.1976,0.2507,2025-09-28T09:41:48.099982
750,3.840758344459279,8,0.002,0.2849,2025-09-28T09:42:23.681717
750,3.2245091232754786,9,0.0008,0.2255,2025-09-28T09:43:09.820305
750,5.521246105919003,11,0.0771,0.2581,2025-09-28T09:43:48.942146
750,2.5952754784156653,12,0.0024,0.2213,2025-09-28T09:44:20.024832
750,1.9973333333333334,13,0.001,0.1453,2025-09-28T09:44:50.870793
750,1.9973333333333334,14,0.001,0.1501,2025-09-28T09:45:19.703176
750,1.9973333333333334,15,0.0007,0.148,2025-09-28T09:45:48.733330
750,1.9973333333333334,16,0.0012,0.1468,2025-09-28T09:46:18.921880
750,1.9973333333333334,17,0.001,0.1312,2025-09-28T09:46:47.884666
750,2.812963061860258,18,0.0035,0.1868,2025-09-28T09:47:16.892886
750,3.27940898976413,19,0.0007,0.2265,2025-09-28T09:47:47.605461
750,2.0832754784156653,20,0.0007,0.2634,2025-09-28T09:48:17.817955
750,1.9973333333333334,21,0.0011,0.1498,2025-09-28T09:48:46.872297
750,2.4425634178905207,22,0.0034,0.2029,2025-09-28T09:49:17.277544
750,2.0727441032487763,23,0.0012,0.2282,2025-09-28T09:49:47.104922
750,3.664277703604806,24,0.0009,0.2415,2025-09-28T09:50:16.419335
750,2.0234125500667557,25,0.0012,0.1469,2025-09-28T09:50:48.277465
750,3.325981308411215,26,0.0019,0.2412,2025-09-28T09:51:17.685438
750,3.313352914997775,27,0.0009,0.2675,2025-09-28T09:51:51.438101
750,3.3021806853582554,28,0.0019,0.2179,2025-09-28T09:52:21.854522
750,4.1151437472185135,29,0.002,0.2073,2025-09-28T09:52:52.792220
750,3.510362260792167,30,0.0053,0.2485,2025-09-28T09:53:23.087080
