tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
500,2.5364168336673347,1,0.0007,0.0949,2025-09-28T09:28:53.175783
500,1.996,2,0.0004,0.0892,2025-09-28T09:29:13.491064
500,1.996,3,0.0004,0.0595,2025-09-28T09:29:31.417060
500,1.996,4,0.0004,0.0634,2025-09-28T09:29:50.614796
500,1.996,5,0.0007,0.0675,2025-09-28T09:30:08.536619
500,1.996,6,0.0004,0.0787,2025-09-28T09:30:27.864948
500,4.455847695390782,7,0.1123,0.1124,2025-09-28T09:30:46.035730
500,3.4050340681362727,8,0.0005,0.0812,2025-09-28T09:31:07.877291
500,2.839623246492986,9,0.0007,0.0971,2025-09-28T09:31:26.464550
500,2.051198396793587,10,0.0006,0.1104,2025-09-28T09:31:45.791572
500,2.8477675350701404,11,0.0056,0.0856,2025-09-28T09:32:03.788242
500,2.4223406813627255,12,0.0005,0.1018,2025-09-28T09:32:25.093303
500,2.115895791583166,13,0.0008,0.0991,2025-09-28T09:32:43.314862
500,2.956184368737475,15,0.0014,0.0803,2025-09-28T09:33:05.331590
500,2.2454669338677355,16,0.0025,0.1818,2025-09-28T09:33:24.866983
500,5.719198396793587,17,1.2439,0.1191,2025-09-28T09:33:44.142518
500,3.728745490981964,18,0.0019,0.1112,2025-09-28T09:34:07.513770
500,1.996,19,0.0008,0.1221,2025-09-28T09:34:26.507103
500,3.9879438877755513,20,0.0533,0.1144,2025-09-28T09:34:45.821207
500,2.9377234468937874,21,0.0059,0.0964,2025-09-28T09:35:08.213607
500,3.9915350701402805,22,0.0096,0.1098,2025-09-28T09:35:26.504739
500,1.9999839679358717,23,0.0084,0.0691,2025-09-28T09:35:47.258724
500,2.4585971943887777,24,0.0005,0.1134,2025-09-28T09:36:05.227651
500,3.473563126252505,25,0.0025,0.0943,2025-09-28T09:36:24.423244
500,1.996,26,0.0004,0.061,2025-09-28T09:36:42.455972
500,3.6845210420841683,27,0.0084,0.0887,2025-09-28T09:37:01.600768
500,3.730933867735471,28,0.0008,0.095,2025-09-28T09:37:20.481638
500,3.4526332665330663,29,0.0008,0.0998,2025-09-28T09:37:41.297153
500,1.9999839679358717,30,0.0033,0.1227,2025-09-28T09:38:02.177328
