name,url_php,url_zip,ASPL,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Number of triangles,Average number of triangles,Maximum number of triangles,Average clustering coefficient,Fraction of closed triangles,Maximum k-core,Lower bound of Maximum Clique
frb30-15-2,https://networkrepository.com/frb30-15-2.php,https://nrvis.com/download/data/bhoslib/frb30-15-2.zip,1.1769265033407572,450.0,83200.0,0.823073,404.0,333.0,369.0,-0.0237061,25200000.0,55900.0,66700.0,0.820417,0.820372,338.0,24.0
frb30-15-4,https://networkrepository.com/frb30-15-4.php,https://nrvis.com/download/data/bhoslib/frb30-15-4.zip,1.176500866122247,450.0,83200.0,0.823499,401.0,339.0,369.0,-0.0293546,25200000.0,56100.0,65800.0,0.821178,0.821099,340.0,25.0
frb30-15-1,https://networkrepository.com/frb30-15-1.php,https://nrvis.com/download/data/bhoslib/frb30-15-1.zip,1.1764612719623857,450.0,83200.0,0.823539,407.0,327.0,369.0,-0.0291078,25200000.0,56100.0,67500.0,0.821076,0.820998,340.0,24.0
frb30-15-3,https://networkrepository.com/frb30-15-3.php,https://nrvis.com/download/data/bhoslib/frb30-15-3.zip,1.1762830982430093,450.0,83200.0,0.823717,400.0,327.0,369.0,-0.0321251,25200000.0,56100.0,65200.0,0.821498,0.821404,337.0,25.0
frb30-15-5,https://networkrepository.com/frb30-15-5.php,https://nrvis.com/download/data/bhoslib/frb30-15-5.zip,1.1761346201435288,450.0,83200.0,0.823865,403.0,321.0,369.0,-0.0493838,25300000.0,56200.0,66400.0,0.822271,0.822053,333.0,26.0
frb35-17-5,https://networkrepository.com/frb35-17-5.php,https://nrvis.com/download/data/bhoslib/frb35-17-5.zip,1.159256429844665,595.0,148600.0,0.840744,550.0,460.0,499.0,-0.0242639,62200000.0,104600.0,126300.0,0.83933,0.839265,461.0,28.0
frb35-17-3,https://networkrepository.com/frb35-17-3.php,https://nrvis.com/download/data/bhoslib/frb35-17-3.zip,1.158056758056758,595.0,148800.0,0.841943,549.0,429.0,500.0,-0.0358331,62600000.0,105200.0,126200.0,0.841338,0.841188,451.0,29.0
frb35-17-1,https://networkrepository.com/frb35-17-1.php,https://nrvis.com/download/data/bhoslib/frb35-17-1.zip,1.15763234586764,595.0,148900.0,0.842368,544.0,462.0,500.0,-0.0411977,62600000.0,105200.0,123900.0,0.841011,0.840878,463.0,29.0
frb35-17-2,https://networkrepository.com/frb35-17-2.php,https://nrvis.com/download/data/bhoslib/frb35-17-2.zip,1.1575814164049458,595.0,148900.0,0.842419,541.0,460.0,500.0,-0.0293996,62500000.0,105100.0,122300.0,0.840465,0.840394,465.0,29.0
frb35-17-4,https://networkrepository.com/frb35-17-4.php,https://nrvis.com/download/data/bhoslib/frb35-17-4.zip,1.1575531222590043,595.0,148900.0,0.842447,560.0,444.0,500.0,-0.0380713,62700000.0,105300.0,131100.0,0.841658,0.841501,456.0,30.0
frb40-19-5,https://networkrepository.com/frb40-19-5.php,https://nrvis.com/download/data/bhoslib/frb40-19-5.zip,1.1442999791970043,760.0,246800.0,0.8557,691.0,585.0,649.0,-0.0260197,136800000.0,180100.0,203700.0,0.85436,0.854308,596.0,32.0
frb40-19-4,https://networkrepository.com/frb40-19-4.php,https://nrvis.com/download/data/bhoslib/frb40-19-4.zip,1.1442514388738645,760.0,246800.0,0.855749,692.0,595.0,649.0,-0.034223,136800000.0,180100.0,204000.0,0.854306,0.854234,600.0,33.0
