name,url_php,url_zip,ASPL,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Number of triangles,Average number of triangles,Maximum number of triangles,Average clustering coefficient,Fraction of closed triangles,Maximum k-core,Lower bound of Maximum Clique
p-hat1500-3,https://networkrepository.com/p-hat1500-3.php,https://nrvis.com/download/data/dimacs/p-hat1500-3.zip,1.2463918167667334,1500.0,847200.0,0.753608,1300.0,912.0,1100.0,-0.0108833,741200000.0,494100.0,675800.0,0.767997,0.767701,930.0,77.0
p-hat1500-2,https://networkrepository.com/p-hat1500-2.php,https://nrvis.com/download/data/dimacs/p-hat1500-2.zip,1.4939203913720258,1500.0,569000.0,0.50608,1200.0,335.0,758.0,-0.0931446,273500000.0,182300.0,372300.0,0.600106,0.58484,505.0,55.0
p-hat1500-1,https://networkrepository.com/p-hat1500-1.php,https://nrvis.com/download/data/dimacs/p-hat1500-1.zip,1.7465661552145877,1500.0,284900.0,0.253434,614.0,157.0,379.0,-0.0913078,34300000.0,22900.0,53200.0,0.300315,0.292669,253.0,11.0
p-hat1000-2,https://networkrepository.com/p-hat1000-2.php,https://nrvis.com/download/data/dimacs/p-hat1000-2.zip,1.509911911911912,1000.0,244800.0,0.490088,766.0,232.0,489.0,-0.0985585,74000000.0,74000.0,157600.0,0.58458,0.568367,328.0,42.0
p-hat1000-1,https://networkrepository.com/p-hat1000-1.php,https://nrvis.com/download/data/dimacs/p-hat1000-1.zip,1.7552492492492493,1000.0,122300.0,0.244751,408.0,105.0,244.0,-0.0934738,9200000.0,9200.0,22700.0,0.291839,0.283975,164.0,10.0
p-hat700-3,https://networkrepository.com/p-hat700-3.php,https://nrvis.com/download/data/dimacs/p-hat700-3.zip,1.251951767831596,700.0,183000.0,0.748048,627.0,408.0,522.0,-0.014674,73600000.0,105200.0,148000.0,0.763166,0.762753,427.0,55.0
p-hat700-2,https://networkrepository.com/p-hat700-2.php,https://nrvis.com/download/data/dimacs/p-hat700-2.zip,1.5024402207234826,700.0,121700.0,0.49756,539.0,157.0,347.0,-0.101368,26700000.0,38100.0,79200.0,0.596311,0.578988,236.0,41.0
p-hat700-1,https://networkrepository.com/p-hat700-1.php,https://nrvis.com/download/data/dimacs/p-hat700-1.zip,1.750668301655426,700.0,61000.0,0.249332,286.0,75.0,174.0,-0.0985095,3300000.0,4800.0,11600.0,0.29819,0.289517,118.0,9.0
p-hat500-3,https://networkrepository.com/p-hat500-3.php,https://nrvis.com/download/data/dimacs/p-hat500-3.zip,1.2480961923847695,500.0,93800.0,0.751904,452.0,293.0,375.0,-0.0149695,27200000.0,54300.0,77200.0,0.766414,0.766019,304.0,45.0
p-hat500-2,https://networkrepository.com/p-hat500-2.php,https://nrvis.com/download/data/dimacs/p-hat500-2.zip,1.4954228456913827,500.0,62900.0,0.504577,389.0,117.0,251.0,-0.0987148,10000000.0,19900.0,40900.0,0.597255,0.581438,171.0,33.0
p-hat300-3,https://networkrepository.com/p-hat300-3.php,https://nrvis.com/download/data/dimacs/p-hat300-3.zip,1.2555183946488295,300.0,33400.0,0.744482,267.0,168.0,222.0,-0.0204908,5700000.0,18900.0,26700.0,0.758296,0.757799,181.0,33.0
brock800-1,https://networkrepository.com/brock800-1.php,https://nrvis.com/download/data/dimacs/brock800-1.zip,1.3507352941176471,800.0,207500.0,0.649265,560.0,477.0,518.0,-0.000418117,69800000.0,87200.0,101500.0,0.649145,0.649147,488.0,19.0
brock800-2,https://networkrepository.com/brock800-2.php,https://nrvis.com/download/data/dimacs/brock800-2.zip,1.3486670838548185,800.0,208200.0,0.651333,566.0,472.0,520.0,-0.00183833,70500000.0,88100.0,104000.0,0.651294,0.651292,487.0,19.0
brock800-3,https://networkrepository.com/brock800-3.php,https://nrvis.com/download/data/dimacs/brock800-3.zip,1.351273466833542,800.0,207300.0,0.648727,558.0,474.0,518.0,-0.00256087,69600000.0,87000.0,100800.0,0.648701,0.648701,484.0,20.0
brock800-4,https://networkrepository.com/brock800-4.php,https://nrvis.com/download/data/dimacs/brock800-4.zip,1.3503035043804756,800.0,207600.0,0.649696,565.0,481.0,519.0,-0.00383331,69900000.0,87400.0,103300.0,0.649685,0.649681,486.0,19.0
brock400-1,https://networkrepository.com/brock400-1.php,https://nrvis.com/download/data/dimacs/brock400-1.zip,1.251591478696742,400.0,59700.0,0.748409,320.0,272.0,298.0,-0.00281946,13300000.0,33300.0,38100.0,0.748295,0.748294,278.0,22.0
brock400-2,https://networkrepository.com/brock400-2.php,https://nrvis.com/download/data/dimacs/brock400-2.zip,1.2508020050125312,400.0,59800.0,0.749198,328.0,274.0,298.0,-0.00471088,13400000.0,33400.0,40100.0,0.748964,0.748958,279.0,22.0
brock400-3,https://networkrepository.com/brock400-3.php,https://nrvis.com/download/data/dimacs/brock400-3.zip,1.2521177944862156,400.0,59700.0,0.747882,322.0,275.0,298.0,-0.00542182,13300000.0,33200.0,38600.0,0.747709,0.747703,279.0,21.0
brock400-4,https://networkrepository.com/brock400-4.php,https://nrvis.com/download/data/dimacs/brock400-4.zip,1.2510651629072682,400.0,59800.0,0.748935,326.0,275.0,298.0,-0.00656624,13300000.0,33300.0,39700.0,0.74876,0.748751,278.0,22.0
