name,url_php,url_zip,ASPL,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Number of triangles,Average number of triangles,Maximum number of triangles,Average clustering coefficient,Fraction of closed triangles,Maximum k-core,Lower bound of Maximum Clique
socfb-nips-ego,https://networkrepository.com/socfb-nips-ego.php,https://nrvis.com/download/data/socfb/socfb-nips-ego.zip,3.867421251248552,2900.0,3000.0,0.000715069,769.0,1.0,2.0,-0.668214,273.0,0.0,52.0,0.0272474,0.00035938,4.0,4.0
socfb-Reed98,https://networkrepository.com/socfb-Reed98.php,https://nrvis.com/download/data/socfb/socfb-Reed98.zip,2.461460580087011,962.0,18800.0,0.0406974,313.0,1.0,39.0,0.0234339,291400.0,302.0,4200.0,0.31836,0.220706,35.0,10.0
socfb-Haverford76,https://networkrepository.com/socfb-Haverford76.php,https://nrvis.com/download/data/socfb/socfb-Haverford76.zip,2.2278663967417573,1400.0,59600.0,0.0570374,375.0,1.0,82.0,0.0674921,1900000.0,1300.0,12800.0,0.322958,0.250546,64.0,17.0
socfb-Oberlin44,https://networkrepository.com/socfb-Oberlin44.php,https://nrvis.com/download/data/socfb/socfb-Oberlin44.zip,2.5794220201138502,2900.0,89900.0,0.0210975,478.0,1.0,61.0,0.0500802,1700000.0,570.0,10600.0,0.263398,0.173822,50.0,11.0
socfb-Amherst41,https://networkrepository.com/socfb-Amherst41.php,https://nrvis.com/download/data/socfb/socfb-Amherst41.zip,2.4036611329083373,2200.0,91000.0,0.0364327,467.0,1.0,81.0,0.0584284,2700000.0,1200.0,14600.0,0.310386,0.233137,64.0,10.0
socfb-Wellesley22,https://networkrepository.com/socfb-Wellesley22.php,https://nrvis.com/download/data/socfb/socfb-Wellesley22.zip,2.5851341528000336,3000.0,94900.0,0.0215241,746.0,1.0,63.0,0.0642533,1800000.0,613.0,19600.0,0.264173,0.172733,52.0,10.0
socfb-Smith60,https://networkrepository.com/socfb-Smith60.php,https://nrvis.com/download/data/socfb/socfb-Smith60.zip,2.4976571599003394,3000.0,97100.0,0.0220308,349.0,1.0,65.0,0.0436172,1900000.0,641.0,6900.0,0.28345,0.193123,49.0,9.0
socfb-Trinity100,https://networkrepository.com/socfb-Trinity100.php,https://nrvis.com/download/data/socfb/socfb-Trinity100.zip,2.4275852449379918,2600.0,112000.0,0.0328186,404.0,1.0,85.0,0.0719057,3300000.0,1300.0,12100.0,0.290325,0.227958,68.0,11.0
socfb-Vassar85,https://networkrepository.com/socfb-Vassar85.php,https://nrvis.com/download/data/socfb/socfb-Vassar85.zip,2.462171860181288,3100.0,119200.0,0.0253277,482.0,1.0,77.0,0.100781,2500000.0,830.0,11900.0,0.24605,0.176583,61.0,10.0
socfb-Santa74,https://networkrepository.com/socfb-Santa74.php,https://nrvis.com/download/data/socfb/socfb-Santa74.zip,2.485804514995735,3600.0,151700.0,0.0237132,1100.0,1.0,84.0,0.0706336,4400000.0,1200.0,31700.0,0.262967,0.202237,69.0,9.0
socfb-Colgate88,https://networkrepository.com/socfb-Colgate88.php,https://nrvis.com/download/data/socfb/socfb-Colgate88.zip,2.4565714164082,3500.0,155000.0,0.0255829,773.0,1.0,89.0,0.0670009,4300000.0,1200.0,15400.0,0.267257,0.206658,66.0,12.0
socfb-Howard90,https://networkrepository.com/socfb-Howard90.php,https://nrvis.com/download/data/socfb/socfb-Howard90.zip,2.4174042005935936,4000.0,204900.0,0.0250211,1200.0,1.0,101.0,0.0578825,6500000.0,1600.0,51700.0,0.22839,0.17308,82.0,9.0
socfb-CMU,https://networkrepository.com/socfb-CMU.php,https://nrvis.com/download/data/socfb/socfb-CMU.zip,2.7380666934057203,6600.0,250000.0,0.0114056,840.0,1.0,75.0,0.122458,6900000.0,1000.0,24100.0,0.278772,0.185256,70.0,15.0
socfb-MIT,https://networkrepository.com/socfb-MIT.php,https://nrvis.com/download/data/socfb/socfb-MIT.zip,2.7202753728586515,6400.0,251200.0,0.0122613,708.0,1.0,78.0,0.119896,7100000.0,1100.0,27800.0,0.27236,0.180288,73.0,9.0
