name,url_php,url_zip,ASPL,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Number of triangles,Average number of triangles,Maximum number of triangles,Average clustering coefficient,Fraction of closed triangles,Maximum k-core,Lower bound of Maximum Clique
ia-email-EU,https://networkrepository.com/ia-email-EU.php,https://nrvis.com/download/data/ia/ia-email-EU.zip,4.08298660323399,32400.0,54400.0,0.000103449,623.0,1.0,3.0,-0.381627,147000.0,4.0,1600.0,0.112681,0.0267784,23.0,11.0
ia-email-univ,https://networkrepository.com/ia-email-univ.php,https://nrvis.com/download/data/ia/ia-email-univ.zip,3.606032017315423,1100.0,5500.0,0.00850021,71.0,1.0,9.0,0.078201,16000.0,14.0,261.0,0.220176,0.16625,12.0,12.0
ia-escorts-dynamic,https://networkrepository.com/ia-escorts-dynamic.php,https://nrvis.com/download/data/ia/ia-escorts-dynamic.zip,4.204244371365652,10100.0,50600.0,0.000991352,616.0,1.0,10.0,-0.0625723,23400.0,2.0,2800.0,0.0117455,0.00790434,42.0,4.0
ia-fb-messages,https://networkrepository.com/ia-fb-messages.php,https://nrvis.com/download/data/ia/ia-fb-messages.zip,3.310308525185921,1300.0,6500.0,0.00805625,112.0,1.0,10.0,-0.084408,7500.0,5.0,242.0,0.06835,0.043903,12.0,5.0
ia-infect-hyper,https://networkrepository.com/ia-infect-hyper.php,https://nrvis.com/download/data/ia/ia-infect-hyper.zip,1.6562895069532235,113.0,2200.0,0.347029,98.0,1.0,38.0,-0.12258,50600.0,447.0,1700.0,0.534756,0.495205,29.0,15.0
ia-infect-dublin,https://networkrepository.com/ia-infect-dublin.php,https://nrvis.com/download/data/ia/ia-infect-dublin.zip,3.630854553044308,410.0,2800.0,0.0329775,50.0,1.0,13.0,0.225752,21300.0,52.0,280.0,0.455824,0.435693,18.0,9.0
ia-enron-large,https://networkrepository.com/ia-enron-large.php,https://nrvis.com/download/data/ia/ia-enron-large.zip,4.025163988178407,33700.0,180800.0,0.000318501,1400.0,1.0,10.0,-0.116499,2200000.0,64.0,17700.0,0.50919,0.0851297,44.0,17.0
ia-frwikinews-user-edits,https://networkrepository.com/ia-frwikinews-user-edits.php,https://nrvis.com/download/data/ia/ia-frwikinews-user-edits.zip,2.966588955920453,25000.0,193600.0,0.000617507,32600.0,1.0,15.0,-0.254438,3200000.0,127.0,316000.0,0.296613,0.00195653,18100.0,27.0
ia-radoslaw-email,https://networkrepository.com/ia-radoslaw-email.php,https://nrvis.com/download/data/ia/ia-radoslaw-email.zip,1.9673905201644903,167.0,82900.0,5.97908,9100.0,1.0,992.0,0.154877,153200000.0,917400.0,8300000.000000001,4.50961,0.67962,2900.0,143.0
ia-reality,https://networkrepository.com/ia-reality.php,https://nrvis.com/download/data/ia/ia-reality.zip,4.213623610073003,6800.0,7700.0,0.000331351,261.0,1.0,2.0,-0.675344,1200.0,0.0,52.0,0.0177709,0.00240715,6.0,5.0
